Feature
NUM_DIAS_DESDE_ALTA
numop_12m_devol_soci_C
YEAR_NACIM
MONTH
AGE
impop_3m_soci_C
impop_12m_soci_C
EMAIL
impop_6m_soci_C
CANAL_ENTRADA_NUM
numop_6m_devol_soci_C
ComunidadAutonoma
NivelEstudios
TELEFONOFIJO
T_Renta
DAY_NACIM
CODPOSTAL
Municipio
SEXO
MONTH_NACIM
NUM_INTERACCIONES_MES_CANAL_0003_12M
Provincia
NUM_INTERACCIONES_MES_12M
PerfilNucleo
TipoFamilia
Nucleo
NUM_INTERACCIONES_MES_CANAL_0005_12M
NUM_MESES_DESDE_ALTA
T_TasaParo
NUM_INTERACCIONES_MES_CANAL_0008_12M
Jubilados
TELEFONOMOVIL
IDIDIOMA
NUM_INTERACCIONES_MES_CANAL_0002_12M
NUM_INTERACCIONES_MES_CANAL_0008_6M
DIRECCION
NUM_INTERACCIONES_MES_CANAL_0001_6M
NUM_INTERACCIONES_MES_CANAL_0002_6M
NUM_INTERACCIONES_MES_6M
NUM_INTERACCIONES_MES_CANAL_0005_6M
MiembrosFamilia
Entre18_45
NUM_INTERACCIONES_MES_CANAL_0003_6M
NUM_INTERACCIONES_TOTAL_12M
NUM_INTERACCIONES_MES_3M
PerfilHijos
NUM_INTERACCIONES_MES_CANAL_0003_3M
Entre46_65
