percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.85;11384;67;967656;20072;0.0059;0.0032;0.0207;0.9706;0.32;1.14
0.86;11384;55;979040;20127;0.0048;0.0027;0.0206;0.9733;0.26;1.13
0.87;11384;53;990424;20180;0.0047;0.0026;0.0204;0.9759;0.26;1.12
0.88;11384;46;1001808;20226;0.004;0.0022;0.0202;0.9781;0.22;1.11
0.89;11385;63;1013193;20289;0.0055;0.003;0.02;0.9811;0.3;1.1
0.9;11384;55;1024577;20344;0.0048;0.0027;0.0199;0.9838;0.26;1.1
0.91;11384;52;1035961;20396;0.0046;0.0025;0.0197;0.9863;0.25;1.08
0.92;11384;41;1047345;20437;0.0036;0.002;0.0195;0.9883;0.2;1.07
0.93;11384;48;1058729;20485;0.0042;0.0023;0.0193;0.9906;0.23;1.06
0.94;11384;32;1070113;20517;0.0028;0.0015;0.0192;0.9922;0.15;1.06
0.95;11385;41;1081498;20558;0.0036;0.002;0.019;0.9941;0.2;1.05
0.96;11384;32;1092882;20590;0.0028;0.0015;0.0188;0.9957;0.15;1.03
0.97;11384;24;1104266;20614;0.0021;0.0012;0.0187;0.9969;0.12;1.03
0.98;11384;25;1115650;20639;0.0022;0.0012;0.0185;0.9981;0.12;1.02
0.99;11384;23;1127034;20662;0.002;0.0011;0.0183;0.9992;0.11;1.01
1;11384;17;1138418;20679;0.0015;8e-04;0.0182;1;0.08;1
