percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.77;1483;52;114207;8367;0.0351;0.0056;0.0733;0.9026;0.56;1.17
0.78;1483;52;115690;8419;0.0351;0.0056;0.0728;0.9082;0.56;1.16
0.79;1483;43;117173;8462;0.029;0.0046;0.0722;0.9128;0.46;1.16
0.8;1483;49;118656;8511;0.033;0.0053;0.0717;0.9181;0.53;1.15
0.81;1484;49;120140;8560;0.033;0.0053;0.0713;0.9234;0.53;1.14
0.82;1483;63;121623;8623;0.0425;0.0068;0.0709;0.9302;0.68;1.13
0.83;1483;41;123106;8664;0.0276;0.0044;0.0704;0.9346;0.44;1.13
0.84;1483;45;124589;8709;0.0303;0.0049;0.0699;0.9395;0.48;1.12
0.85;1483;43;126072;8752;0.029;0.0046;0.0694;0.9441;0.46;1.11
0.86;1484;53;127556;8805;0.0357;0.0057;0.069;0.9498;0.57;1.1
0.87;1483;37;129039;8842;0.0249;0.004;0.0685;0.9538;0.4;1.1
0.88;1483;42;130522;8884;0.0283;0.0045;0.0681;0.9584;0.45;1.09
0.89;1483;35;132005;8919;0.0236;0.0038;0.0676;0.9621;0.38;1.08
0.9;1483;47;133488;8966;0.0317;0.0051;0.0672;0.9672;0.51;1.08
0.91;1484;41;134972;9007;0.0276;0.0044;0.0667;0.9716;0.44;1.07
0.92;1483;41;136455;9048;0.0276;0.0044;0.0663;0.9761;0.44;1.06
0.93;1483;28;137938;9076;0.0189;0.003;0.0658;0.9791;0.3;1.05
0.94;1483;34;139421;9110;0.0229;0.0037;0.0653;0.9827;0.37;1.04
0.95;1483;29;140904;9139;0.0196;0.0031;0.0649;0.9859;0.31;1.04
0.96;1484;34;142388;9173;0.0229;0.0037;0.0644;0.9895;0.37;1.03
0.97;1483;26;143871;9199;0.0175;0.0028;0.0639;0.9923;0.28;1.02
0.98;1483;20;145354;9219;0.0135;0.0022;0.0634;0.9945;0.22;1.01
0.99;1483;20;146837;9239;0.0135;0.0022;0.0629;0.9967;0.22;1.01
1;1483;31;148320;9270;0.0209;0.0033;0.0625;1;0.33;1
