percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.71;4236;61;300805;8018;0.0144;0.0066;0.0267;0.8649;0.66;1.22
0.72;4237;54;305042;8072;0.0127;0.0058;0.0265;0.8708;0.58;1.21
0.73;4237;64;309279;8136;0.0151;0.0069;0.0263;0.8777;0.69;1.2
0.74;4237;44;313516;8180;0.0104;0.0047;0.0261;0.8824;0.48;1.19
0.75;4236;58;317752;8238;0.0137;0.0063;0.0259;0.8887;0.63;1.18
0.76;4237;56;321989;8294;0.0132;0.006;0.0258;0.8947;0.6;1.18
0.77;4237;51;326226;8345;0.012;0.0055;0.0256;0.9002;0.55;1.17
0.78;4236;46;330462;8391;0.0109;0.005;0.0254;0.9052;0.5;1.16
0.79;4237;62;334699;8453;0.0146;0.0067;0.0253;0.9119;0.67;1.16
0.8;4237;46;338936;8499;0.0109;0.005;0.0251;0.9168;0.5;1.15
0.81;4236;47;343172;8546;0.0111;0.0051;0.0249;0.9219;0.51;1.14
0.82;4237;52;347409;8598;0.0123;0.0056;0.0247;0.9275;0.56;1.13
0.83;4237;57;351646;8655;0.0135;0.0061;0.0246;0.9337;0.62;1.12
0.84;4236;51;355882;8706;0.012;0.0055;0.0245;0.9392;0.55;1.12
0.85;4237;38;360119;8744;0.009;0.0041;0.0243;0.9433;0.41;1.11
0.86;4237;44;364356;8788;0.0104;0.0047;0.0241;0.948;0.48;1.1
0.87;4237;46;368593;8834;0.0109;0.005;0.024;0.953;0.5;1.1
0.88;4236;44;372829;8878;0.0104;0.0047;0.0238;0.9577;0.48;1.09
0.89;4237;39;377066;8917;0.0092;0.0042;0.0236;0.9619;0.42;1.08
0.9;4237;37;381303;8954;0.0087;0.004;0.0235;0.9659;0.4;1.07
0.91;4236;50;385539;9004;0.0118;0.0054;0.0234;0.9713;0.54;1.07
0.92;4237;43;389776;9047;0.0101;0.0046;0.0232;0.9759;0.46;1.06
0.93;4237;34;394013;9081;0.008;0.0037;0.023;0.9796;0.37;1.05
0.94;4236;26;398249;9107;0.0061;0.0028;0.0229;0.9824;0.28;1.05
0.95;4237;27;402486;9134;0.0064;0.0029;0.0227;0.9853;0.29;1.04
0.96;4237;29;406723;9163;0.0068;0.0031;0.0225;0.9885;0.31;1.03
0.97;4236;38;410959;9201;0.009;0.0041;0.0224;0.9926;0.41;1.02
0.98;4237;35;415196;9236;0.0083;0.0038;0.0222;0.9963;0.38;1.01
0.99;4237;14;419433;9250;0.0033;0.0015;0.0221;0.9978;0.15;1.01
1;4236;20;423669;9270;0.0047;0.0022;0.0219;1;0.21;1
