percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.67;11385;135;762741;17848;0.0119;0.0065;0.0234;0.8626;0.65;1.29
0.68;11384;144;774125;17992;0.0126;0.007;0.0232;0.8695;0.69;1.28
0.69;11384;122;785509;18114;0.0107;0.0059;0.0231;0.8754;0.59;1.27
0.7;11384;120;796893;18234;0.0105;0.0058;0.0229;0.8812;0.58;1.26
0.71;11384;117;808277;18351;0.0103;0.0057;0.0227;0.8869;0.57;1.25
0.72;11384;101;819661;18452;0.0089;0.0049;0.0225;0.8917;0.49;1.24
0.73;11385;114;831046;18566;0.01;0.0055;0.0223;0.8973;0.55;1.23
0.74;11384;98;842430;18664;0.0086;0.0047;0.0222;0.902;0.47;1.22
0.75;11384;112;853814;18776;0.0098;0.0054;0.022;0.9074;0.54;1.21
0.76;11384;106;865198;18882;0.0093;0.0051;0.0218;0.9125;0.51;1.2
0.77;11384;107;876582;18989;0.0094;0.0052;0.0217;0.9177;0.52;1.19
0.78;11385;120;887967;19109;0.0105;0.0058;0.0215;0.9235;0.58;1.18
0.79;11384;86;899351;19195;0.0076;0.0042;0.0213;0.9277;0.42;1.17
0.8;11384;80;910735;19275;0.007;0.0039;0.0212;0.9315;0.39;1.17
0.81;11384;90;922119;19365;0.0079;0.0043;0.021;0.9359;0.43;1.16
0.82;11384;106;933503;19471;0.0093;0.0051;0.0209;0.941;0.51;1.15
0.83;11384;67;944887;19538;0.0059;0.0032;0.0207;0.9442;0.32;1.14
0.84;11385;90;956272;19628;0.0079;0.0043;0.0205;0.9486;0.43;1.13
0.85;11384;84;967656;19712;0.0074;0.0041;0.0204;0.9526;0.41;1.12
0.86;11384;98;979040;19810;0.0086;0.0047;0.0202;0.9574;0.47;1.11
0.87;11384;87;990424;19897;0.0076;0.0042;0.0201;0.9616;0.42;1.11
0.88;11384;79;1001808;19976;0.0069;0.0038;0.0199;0.9654;0.38;1.09
0.89;11385;66;1013193;20042;0.0058;0.0032;0.0198;0.9686;0.32;1.09
0.9;11384;64;1024577;20106;0.0056;0.0031;0.0196;0.9717;0.31;1.08
0.91;11384;76;1035961;20182;0.0067;0.0037;0.0195;0.9754;0.37;1.07
0.92;11384;73;1047345;20255;0.0064;0.0035;0.0193;0.9789;0.35;1.06
0.93;11384;68;1058729;20323;0.006;0.0033;0.0192;0.9822;0.33;1.06
0.94;11384;58;1070113;20381;0.0051;0.0028;0.019;0.985;0.28;1.05
0.95;11385;80;1081498;20461;0.007;0.0039;0.0189;0.9888;0.39;1.04
0.96;11384;56;1092882;20517;0.0049;0.0027;0.0188;0.9915;0.27;1.03
0.97;11384;50;1104266;20567;0.0044;0.0024;0.0186;0.994;0.24;1.02
0.98;11384;50;1115650;20617;0.0044;0.0024;0.0185;0.9964;0.24;1.02
0.99;11384;49;1127034;20666;0.0043;0.0024;0.0183;0.9987;0.24;1.01
1;11384;26;1138418;20692;0.0023;0.0013;0.0182;1;0.13;1
