Feature
NUM_DIAS_DESDE_ALTA
AGE
MONTH
YEAR_NACIM
EMAIL
CANAL_ENTRADA_NUM
TELEFONOFIJO
NUM_INTERACCIONES_MES_CANAL_0003_12M
NUM_MESES_DESDE_ALTA
SEXO
NUM_INTERACCIONES_MES_CANAL_0005_12M
NUM_ANYOS_DESDE_ALTA
NUM_INTERACCIONES_MES_12M
DIRECCION
NUM_INTERACCIONES_MES_CANAL_0002_12M
CODPOSTAL
NUM_INTERACCIONES_TOTAL_6M
MONTH_NACIM
